X,jumlah_kartu,outstanding,limit_kredit,tagihan,total_pemakaian_tunai,total_pemakaian_retail,sisa_tagihan_tidak_terbayar,kode_cabang,rasio_pembayaran,persentasi_overlimit,rasio_pembayaran_3bulan,rasio_pembayaran_6bulan,skor_delikuensi,flag_kredit_macet,jumlah_tahun_sejak_pembukaan_kredit,total_pemakaian,sisa_tagihan_per_jumlah_kartu,sisa_tagihan_per_limit,total_pemakaian_per_limit,pemakaian_3bln_per_limit,pemakaian_6bln_per_limit,utilisasi_3bulan,utilisasi_6bulan
92,5,5972272,6000000.0,5068230.0,0.0,0.0,5206434.0,,12.19,0.0,7.84,43.92,0,0,9.916666667000001,0.0,1041286.8,0.8677389999999999,0.0,0.05940075,0.041536388,0.919163625,0.919635167
316,2,136453,65000000.0,128750.0,0.0,0.0,0.0,,100.0,0.0,74.92,100.36,0,0,3.5,0.0,0.0,0.0,0.0,0.023722472999999997,0.013270713,0.022846777000000002,0.007724267
624,1,1354080,3000000.0,1369203.0,0.0,15000.0,0.0,,100.0,0.0,82.01,0.0,3,0,8.5,15000.0,0.0,0.0,0.005,0.145833333,0.0,0.627425583,0.8993094429999999
628,2,1076660,49000000.0,752108.0,0.0,775440.0,0.0,,99.07,0.0,29.72,57.32,0,0,4.333333333,775440.0,0.0,0.0,0.015825306,0.017616969,0.177094163,0.013698883,0.255363259
947,3,42281368,34000000.0,43130581.0,0.0,0.0,41144841.0,,0.0,22.63,37.49,43.58,0,1,7.0,0.0,13714947.0,1.2101423820000001,0.0,0.412360926,0.014556343000000001,1.205087243,1.116091863
1043,2,2174461,10000000.0,2178439.0,0.0,0.0,2136274.0,,28.14,0.0,30.37,60.06,0,0,3.25,0.0,1068137.0,0.2136274,0.0,0.059075,0.187866633,0.32687940000000004,0.45493356700000004
1351,2,8590082,10000000.0,6344918.0,0.0,3152123.0,0.0,,99.88,0.0,77.5,9.99,0,0,2.0,3152123.0,0.0,0.0,0.3152123,0.28260295,0.21060316699999998,0.39839945,0.34341546700000003
1412,2,16527705,80000000.0,3734170.0,0.0,9474712.0,13708757.0,,62.74,0.0,37.18,12.72,0,0,3.416666667,9474712.0,6854378.5,0.17135946300000002,0.1184339,0.040444456000000004,0.01030875,0.17678683399999998,0.345814333
2027,2,556845,3000000.0,506668.0,0.0,40600.0,0.0,,100.0,0.0,100.0,105.0,0,0,4.42,40600.0,0.0,0.0,0.0135,0.27699999999999997,1.15,0.431,1.28
2118,2,1123923,23000000.0,1081221.0,0.0,161999.0,0.0,,100.0,0.0,100.0,78.0,0,0,10.6,161999.0,0.0,0.0,0.00704,0.111,0.0232,0.0694,0.0494
2210,2,3801319,4000000.0,3818126.0,0.0,0.0,3801866.0,,21.1,0.0,23.8,34.8,0,0,5.92,0.0,1900933.0,0.95,0.0,0.17300000000000001,0.271,0.907,0.856
2490,2,2669231,6000000.0,3134473.0,0.0,0.0,2524449.0,,0.0,0.0,13.7,12.5,0,0,5.33,0.0,1262225.0,0.42100000000000004,0.0,0.0022199999999999998,0.0448,0.55,0.685
2588,2,16589186,52000000.0,5504783.0,0.0,3803088.0,0.0,,100.0,0.0,89.7,75.7,0,0,7.58,3803088.0,0.0,0.0,0.0731,0.179,0.21100000000000002,0.348,0.336
2781,2,648139,7000000.0,642313.0,0.0,671200.0,139330.0,,0.0,0.0,0.0,1518.0,0,0,4.67,671200.0,69665.0,0.0199,0.0959,-0.0541,0.0,0.0278,0.000286
3339,5,81501285,100000000.0,12438988.0,0.0,6189000.0,70519310.0,,100.0,0.0,85.9,27.5,0,0,8.58,6189000.0,14103862.0,0.705,0.0619,0.0059700000000000005,0.0017399999999999998,0.778,0.807
3455,2,17467674,10000000.0,8885100.0,3900000.0,0.0,18325304.0,,19.3,37.1,23.1,23.1,0,1,1.0,3900000.0,9162652.0,1.83,0.39,0.0,0.0533,1.57,1.85
3729,2,1239891,3000000.0,635416.0,0.0,75250.0,0.0,,100.0,0.0,100.0,100.0,0,0,7.33,75250.0,0.0,0.0,0.0251,0.155,0.135,0.22,0.725
4048,2,12272489,12000000.0,12262500.0,0.0,47221.0,12318035.0,,0.0,2.66,10.5,15.2,0,0,9.58,47221.0,6159018.0,1.03,0.00394,0.113,0.0636,1.04,0.9890000000000001
4113,6,35113217,93000000.0,3146111.0,0.0,5882907.0,0.0,,100.0,0.0,100.0,100.0,0,0,5.25,5882907.0,0.0,0.0,0.0633,0.0761,0.146,0.491,0.134
4120,2,121990,3000000.0,99491.0,0.0,0.0,80988.0,,101.0,0.0,103.0,103.0,0,0,3.92,0.0,40494.0,0.027000000000000003,0.0,0.109,0.139,0.163,0.295
4158,2,4499151,4000000.0,2825607.0,400000.0,1167470.0,4129186.0,,0.0,12.5,49.1,57.6,0,0,3.58,1567470.0,2064593.0,1.03,0.392,0.17600000000000002,0.544,0.9009999999999999,1.1
4344,2,16026912,22000000.0,704324.0,0.0,15186952.0,0.0,,100.0,6.7,50.0,80.8,0,0,6.5,15186952.0,0.0,0.0,0.69,0.33899999999999997,0.171,0.265,0.128
4572,2,6591967,7000000.0,6425165.0,0.0,0.0,6494255.0,,0.0,0.0,3.8,11.8,0,0,5.33,0.0,3247128.0,0.9279999999999999,0.0,0.00642,0.0338,0.868,0.985
4727,2,452020,10000000.0,179086.0,0.0,278586.0,524839.0,,100.0,0.0,98.2,40.6,0,0,0.917,278586.0,262420.0,0.0525,0.0279,0.0277,0.0107,0.0418,0.327
4864,2,2492029,5000000.0,2954959.0,0.0,0.0,2335668.0,,0.0,0.0,25.8,90.6,0,0,1.75,0.0,1167834.0,0.467,0.0,0.125,0.166,0.374,0.187
4868,2,12656092,13000000.0,12355677.0,0.0,0.0,12543292.0,,0.0,0.0,12.9,20.6,0,0,10.5,0.0,6271646.0,0.965,0.0,0.0516,0.0353,0.978,0.8740000000000001
5090,3,596113,44000000.0,530033.0,0.0,0.0,0.0,,0.0,0.0,18.1,0.0,0,1,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.00611,0.00716
5219,2,11178898,39000000.0,8685437.0,0.0,0.0,0.0,,100.0,0.0,100.0,100.0,0,0,5.5,0.0,0.0,0.0,0.0,0.0542,0.0908,0.268,0.0905
5534,2,405182,8000000.0,378371.0,0.0,43000.0,377588.0,,0.0,0.0,0.0,33.3,0,1,0.75,43000.0,188794.0,0.0472,0.005370000000000001,0.00607,0.0,0.015,0.586
5559,3,36577215,60000000.0,12291956.0,0.0,3796100.0,0.0,,100.0,0.0,100.0,100.0,0,0,5.5,3796100.0,0.0,0.0,0.0633,0.28800000000000003,0.172,0.517,0.223
5761,2,86966,19000000.0,78629.0,0.0,0.0,98319.0,,0.0,0.0,-48.0,33.3,0,0,11.3,0.0,49160.0,0.00517,0.0,0.00725,0.057,0.0903,0.527
6243,3,3113314,17000000.0,485000.0,0.0,0.0,0.0,,100.0,0.0,102.0,101.0,0,0,8.33,0.0,0.0,0.0,0.0,0.0,0.00271,0.314,0.321
6443,7,37922655,99000000.0,8283601.0,0.0,14154763.0,0.0,,100.0,0.0,100.0,100.0,0,0,6.67,14154763.0,0.0,0.0,0.14300000000000002,0.259,0.303,0.33399999999999996,0.17
6705,2,135995,55000000.0,132613.0,0.0,0.0,0.0,,100.0,0.0,73.4,86.9,0,0,10.8,0.0,0.0,0.0,0.0,0.00861,0.00317,0.006999999999999999,0.000127
6754,3,28039379,25000000.0,22684597.0,0.0,15209865.0,30123572.0,,107.0,16.5,100.0,103.0,0,0,3.25,15209865.0,10000000.0,1.2,0.608,0.75,0.8340000000000001,0.991,0.63
6843,2,2704811,4000000.0,2098894.0,0.0,0.0,2845485.0,,0.0,0.0,9.63,13.9,0,0,2.08,0.0,1422743.0,0.711,0.0,0.0156,0.0446,0.659,0.8690000000000001
6850,8,30462888,81000000.0,11585225.0,0.0,25059641.0,0.0,,100.0,0.0,100.0,100.0,0,0,15.8,25059641.0,0.0,0.0,0.309,0.177,0.11900000000000001,0.20199999999999999,0.11199999999999999
7116,2,8474004,7000000.0,8504308.0,0.0,28000.0,0.0,,100.0,15.8,100.0,100.0,0,0,5.5,28000.0,0.0,0.0,0.004,0.561,0.23800000000000002,0.816,0.24100000000000002
7273,2,353290,18000000.0,267577.0,0.0,0.0,0.0,,100.0,0.0,100.0,100.0,0,0,5.42,0.0,0.0,0.0,0.0,0.0452,0.0736,0.0471,0.0708
7407,2,131030,3000000.0,125000.0,0.0,0.0,0.0,,100.0,0.0,50.0,100.0,0,0,2.33,0.0,0.0,0.0,0.0,0.0225,0.0,0.0573,0.0316
7434,2,19782144,19000000.0,19945219.0,0.0,3927461.0,19720091.0,,131.0,2.49,83.2,100.0,0,0,13.2,3927461.0,9860046.0,1.04,0.207,0.638,0.84,1.07,1.2
